  147,Ac 5s
  148,Ac 5h
  149,Ac 5d
  150,Ac 5c
  151,As 4s
  152,As 4h
  153,As 4d
  154,As 4c
  155,Ah 4s
  156,Ah 4h
  157,Ah 4d
  158,Ah 4c
  159,Ad 4s
  160,Ad 4h
  161,Ad 4d
  162,Ad 4c
  163,Ac 4s
  164,Ac 4h
  165,Ac 4d
  166,Ac 4c
  167,As 3s
  168,As 3h
  169,As 3d
  170,As 3c
  171,Ah 3s
  172,Ah 3h
  173,Ah 3d
  174,Ah 3c
  175,Ad 3s
  176,Ad 3h
  177,Ad 3d
  178,Ad 3c
  179,Ac 3s
  180,Ac 3h
  181,Ac 3d
  182,Ac 3c
  183,As 2s
  184,As 2h
  185,As 2d
  186,As 2c
  187,Ah 2s
  188,Ah 2h
  189,Ah 2d
  190,Ah 2c
  191,Ad 2s
  192,Ad 2h
  193,Ad 2d
  194,Ad 2c
  195,Ac 2s
  196,Ac 2h
  197,Ac 2d
  198,Ac 2c
  199,Ks Kh
  200,Ks Kd
  201,Ks Kc
  202,Kh Kd
  203,Kh Kc
  204,Kd Kc
  205,Ks Qs
  206,Ks Qh
  207,Ks Qd
  208,Ks Qc
  209,Kh Qs
  210,Kh Qh
  211,Kh Qd
  212,Kh Qc
  213,Kd Qs
  214,Kd Qh
  215,Kd Qd
  216,Kd Qc
  217,Kc Qs
  218,Kc Qh
  219,Kc Qd
  220,Kc Qc
  221,Ks Js
  222,Ks Jh
  223,Ks Jd
  224,Ks Jc
  225,Kh Js
  226,Kh Jh
  227,Kh Jd
  228,Kh Jc
  229,Kd Js
  230,Kd Jh
  231,Kd Jd
  232,Kd Jc
  233,Kc Js
  234,Kc Jh
  235,Kc Jd
  236,Kc Jc
  237,Ks Ts
  238,Ks Th
  239,Ks Td
  240,Ks Tc
  241,Kh Ts
  242,Kh Th
  243,Kh Td
  244,Kh Tc
  245,Kd Ts
  246,Kd Th
  247,Kd Td
  248,Kd Tc
  249,Kc Ts
  250,Kc Th
  251,Kc Td
  252,Kc Tc
  253,Ks 9s
  254,Ks 9h
  255,Ks 9d
  256,Ks 9c
  257,Kh 9s
  258,Kh 9h
  259,Kh 9d
  260,Kh 9c
  261,Kd 9s
  262,Kd 9h
  263,Kd 9d
  264,Kd 9c
  265,Kc 9s
  266,Kc 9h
  267,Kc 9d
  268,Kc 9c
  269,Ks 8s
  270,Ks 8h
  271,Ks 8d
  272,Ks 8c
  273,Kh 8s
  274,Kh 8h
  275,Kh 8d
  276,Kh 8c
  277,Kd 8s
  278,Kd 8h
  279,Kd 8d
  280,Kd 8c
  281,Kc 8s
  282,Kc 8h
  283,Kc 8d
  284,Kc 8c
  285,Ks 7s
  286,Ks 7h
  287,Ks 7d
  288,Ks 7c
  289,Kh 7s
  290,Kh 7h
  291,Kh 7d
  292,Kh 7c
  293,Kd 7s
  294,Kd 7h
  295,Kd 7d
